park_name,park_code,states,designation,latitude,longitude,num_activities,num_topics,num_entrance_fees,description_length,has_camping,has_fishing,has_wildlife,has_biking,has_boating
Wind Cave National Park,wica,SD,National Park,43.58012365,-103.4394709,25,28,0,379,True,False,True,True,False
Wing Luke Museum Affiliated Area,wing,WA,Affiliated Area,47.59820859,-122.3228912,6,3,0,394,False,False,False,False,False
Wolf Trap National Park for the Performing Arts,wotr,VA,,38.93854526,-77.265089,8,3,0,383,False,False,False,False,False
Women's Rights National Historical Park,wori,NY,National Historical Park,42.90817073,-76.81655558,6,22,0,399,False,False,False,False,False
World War I Memorial,wwim,DC,,38.8959,-77.0329,2,13,0,142,False,False,False,False,False
World War II Memorial,wwii,DC,,38.88923917,-77.0403759,3,6,0,230,False,False,False,False,False
Wrangell - St Elias National Park & Preserve,wrst,AK,National Park & Preserve,61.4182147,-142.6028439,42,34,0,396,True,True,True,True,True
Wright Brothers National Memorial,wrbr,NC,National Memorial,36.01637713,-75.66997163,5,6,6,393,False,False,False,False,False
Wupatki National Monument,wupa,AZ,National Monument,35.55741077,-111.3957216,19,7,9,400,False,False,True,True,False
Yellowstone National Park,yell,"ID,MT,WY",National Park,44.59824417,-110.5471695,53,62,10,206,True,True,True,True,True
Yorktown Battlefield Part of Colonial National Historical Park,york,VA,Part of Colonial National Historical Park,37.2195,-76.4983,21,28,1,392,False,False,True,True,False
Yosemite National Park,yose,CA,National Park,37.84883288,-119.5571873,33,43,9,399,True,True,True,True,True
Yucca House National Monument,yuho,CO,National Monument,37.24778944,-108.6861274,2,3,0,376,False,False,False,False,False
Yukon - Charley Rivers National Preserve,yuch,AK,National Preserve,65.0935608,-142.7960021,21,25,0,397,True,True,True,False,True
Zion National Park,zion,UT,National Park,37.29839254,-113.0265138,22,29,10,379,True,False,True,True,False
